VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P	FULL_NAME	GENE_NAMES
REACTOME_STABILIZATION_OF_P53	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_STABILIZATION_OF_P53	PSMC1,PSMD11,PSMD6
REACTOME_REGULATION_OF_RUNX3...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY	PSMC1,PSMD11,PSMD6
REACTOME_APC_C_MEDIATED_DEGR...	SET	3	0.70615	0.036401	0.59433	0.11752	REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS	PSMC1,PSMD11,PSMD6
REACTOME_NEUROTRANSMITTER_RE...2	SET	7	0.46256	0.036358	0.38971	0.11776	REACTOME_NEUROTRANSMITTER_RELEASE_CYCLE	SLC1A3,SLC1A1,SLC1A2,ALDH5A1,SLC6A11,ABAT,SYN3
REACTOME_NEUREXINS_AND_NEURO...	SET	8	0.40885	0.03434	0.34543	0.11842	REACTOME_NEUREXINS_AND_NEUROLIGINS	NRXN3,NRXN2,DLG2,DLGAP1,NRXN1,DLGAP2,LRRTM3,GRIN2B
REACTOME_CARGO_RECOGNITION_F...	SET	9	0.40612	0.036163	0.34394	0.11897	REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS	AP2B1,TFRC,LRP2,ADRBK2,TACR1,SGIP1,REPS1,SH3GL3,FCHO2
REACTOME_TRP_CHANNELS	SET	6	0.49518	0.03605	0.42087	0.11981	REACTOME_TRP_CHANNELS	TRPC7,TRPM3,TRPM6,TRPC4,RIPK1,TRPV6
REACTOME_ION_HOMEOSTASIS	SET	6	0.49361	0.035936	0.42071	0.12047	REACTOME_ION_HOMEOSTASIS	ITPR2,CAMK2D,ITPR1,ATP2B2,SLC8A1,RYR3
REACTOME_CELL_CYCLE_CHECKPOI...	SET	10	0.39796	0.037337	0.33955	0.12072	REACTOME_CELL_CYCLE_CHECKPOINTS	MRE11A,NDE1,PSMC1,PSMD11,CHEK1,DYNC1I1,ZNF385A,PSMD6,APITD1,HIST1H2BO
REACTOME_ION_TRANSPORT_BY_P_...	SET	5	0.53878	0.035823	0.46025	0.12101	REACTOME_ION_TRANSPORT_BY_P_TYPE_ATPASES	ATP9A,ATP8B3,ATP8A2,CAMK2D,ATP2B2
REACTOME_SPHINGOLIPID_DE_NOV...	SET	4	0.59819	0.03559	0.51504	0.12285	REACTOME_SPHINGOLIPID_DE_NOVO_BIOSYNTHESIS	SPHK2,ALDH3A2,CERS6,PRKD1
REACTOME_DISEASES_OF_SIGNAL_...	SET	30	0.22096	0.035583	0.19281	0.12603	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	APBB1IP,JAK2,RBX1,PSMC1,AXIN1,KANK1,DKK1,PSMD11,FBXW7,FN1,MAPKAP1,ESR2,VAV1,CAMK2D,TCF7L2,FOXO1,NRG1,BRAF,NRG2,TGFBR2,PSMD6,KSR2,CTBP2,ERBB4,BCR,HDAC2,NF1,SND1,CUX1,ITGB3
REACTOME_NEGATIVE_REGULATION...9	SET	6	0.48246	0.035124	0.42246	0.12685	REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK	ESR2,VAV1,NRG1,NRG2,INSR,ERBB4
REACTOME_ANTIGEN_PROCESSING_...1	SET	4	0.58722	0.034937	0.51501	0.12722	REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	PSMC1,PSMD11,NCF2,PSMD6
REACTOME_VISUAL_PHOTOTRANSDU...	SET	11	0.35366	0.034784	0.31175	0.12843	REACTOME_VISUAL_PHOTOTRANSDUCTION	GUCA1A,PRKCQ,DHRS9,LRP2,PDE6A,PDE6B,RDH16,CAMKMT,SDC2,GPC5,GPC6
REACTOME_TRAFFICKING_OF_AMPA...	SET	3	0.66523	0.034291	0.59454	0.13172	REACTOME_TRAFFICKING_OF_AMPA_RECEPTORS	AP2B1,CAMK2D,GRIP1
REACTOME_RETROGRADE_NEUROTRO...	SET	2	0.81363	0.03426	0.72778	0.13192	REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING	AP2B1,DNM3
REACTOME_INTEGRIN_CELL_SURFA...	SET	6	0.47015	0.034228	0.42095	0.13214	REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS	COL23A1,FN1,COL4A3,COL5A2,ITGA1,ITGB3
REACTOME_ANTIGEN_PROCESSING_...2	SET	19	0.27017	0.034798	0.24262	0.13286	REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION	KLHL13,NEDD4L,UNKL,LNX1,UBA5,RBX1,PSMC1,BLMH,PSMD11,KLHL2,FBXW7,CBLB,RNF138,FBXO11,KLHL3,UBE2J2,PSMD6,PARK2,UBE2L3,RNF220
REACTOME_EFFECTS_OF_PIP2_HYD...	SET	9	0.38158	0.033978	0.34403	0.1338	REACTOME_EFFECTS_OF_PIP2_HYDROLYSIS	PRKCH,DGKG,PRKCQ,TRPC7,ITPR2,DGKB,ITPR1,DGKI,PRKCE
REACTOME_PRE_NOTCH_EXPRESSIO...	SET	3	0.65914	0.033978	0.59433	0.13382	REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	POFUT1,RUNX1,HIST1H2BO
REACTOME_PI_METABOLISM	SET	6	0.46484	0.033841	0.42091	0.13484	REACTOME_PI_METABOLISM	PLEKHA5,MTMR1,SYNJ2,MTMR2,MTMR3,SYNJ1,ENPP6
REACTOME_SIGNALING_BY_NOTCH1	SET	5	0.50583	0.033632	0.46083	0.1363	REACTOME_SIGNALING_BY_NOTCH1	CNTN1,RBX1,FBXW7,NBEA,HDAC2
REACTOME_PROCESSING_OF_CAPPE...	SET	8	0.39675	0.033323	0.36471	0.13845	REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA	HNRNPC,CRNKL1,ELAVL2,WBP4,WDR33,PPIL1,HNRNPF,PPIL6
REACTOME_MRNA_SPLICING	SET	8	0.39675	0.033323	0.36471	0.13845	REACTOME_MRNA_SPLICING	HNRNPC,CRNKL1,ELAVL2,WBP4,WDR33,PPIL1,HNRNPF,PPIL6
REACTOME_ASYMMETRIC_LOCALIZA...	SET	4	0.56005	0.033321	0.515	0.13853	REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS	PSMC1,FZD3,PSMD11,PSMD6
REACTOME_NONHOMOLOGOUS_END_J...	SET	2	0.79049	0.033286	0.72778	0.13882	REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	MRE11A,HIST1H2BO
REACTOME_SMOOTH_MUSCLE_CONTR...	SET	2	0.77989	0.032839	0.72755	0.14199	REACTOME_SMOOTH_MUSCLE_CONTRACTION	PAK1,ITGA1
REACTOME_JNK_C_JUN_KINASES_P...	SET	2	0.76485	0.032206	0.72787	0.14679	REACTOME_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1	TAB1,NOD1
REACTOME_ACTIVATED_TAK1_MEDI...	SET	2	0.76485	0.032206	0.72787	0.14679	REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	TAB1,NOD1
REACTOME_NOD1_2_SIGNALING_PA...	SET	2	0.76485	0.032206	0.72787	0.14679	REACTOME_NOD1_2_SIGNALING_PATHWAY	TAB1,NOD1
REACTOME_TRANSCRIPTIONAL_REG...6	SET	2	0.75983	0.031994	0.72732	0.1482	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_THE_AP_2_TFAP2_FAMILY_OF_TRANSCRIPTION_FACTORS	KCTD1,WWOX
REACTOME_NEGATIVE_REGULATION...1	SET	2	0.75983	0.031994	0.72732	0.1482	REACTOME_NEGATIVE_REGULATION_OF_ACTIVITY_OF_TFAP2_AP_2_FAMILY_TRANSCRIPTION_FACTORS	KCTD1,WWOX
REACTOME_RNA_POLYMERASE_I_PR...	SET	4	0.53708	0.031954	0.51512	0.14867	REACTOME_RNA_POLYMERASE_I_PROMOTER_ESCAPE	MNAT1,POLR1E,TAF1D,HIST1H2BO
REACTOME_GLYCOSAMINOGLYCAN_M...	SET	7	0.4034	0.031708	0.39049	0.1509	REACTOME_GLYCOSAMINOGLYCAN_METABOLISM	ARSB,NDST3,SDC2,GLB1,CHST11,GPC5,HS3ST4,GPC6
REACTOME_FLT3_SIGNALING	SET	22	0.23223	0.032143	0.22547	0.15162	REACTOME_FLT3_SIGNALING	LRRC7,SPTB,APBB1IP,JAK2,RBX1,PSMC1,PSMD11,FN1,TEK,CAMK2D,NCAM1,DLG2,GFRA1,NRG1,BRAF,NRG2,PSMD6,KSR2,ERBB4,NF1,ITGB3,GRIN2B
REACTOME_SIGNALING_BY_HEDGEH...	SET	12	0.30701	0.031524	0.29836	0.15186	REACTOME_SIGNALING_BY_HEDGEHOG	RBX1,PSMC1,PSMD11,TTC21B,GPR161,ADCY8,PSMD6,IFT122,INTU,TUBA1C,GPC5,DYNC2H1
REACTOME_RNA_POLYMERASE_I_TR...3	SET	3	0.60842	0.031363	0.59457	0.1532	REACTOME_RNA_POLYMERASE_I_TRANSCRIPTION_TERMINATION	MNAT1,POLR1E,TAF1D
REACTOME_BETA_CATENIN_INDEPE...	SET	14	0.27832	0.030841	0.27673	0.15737	REACTOME_BETA_CATENIN_INDEPENDENT_WNT_SIGNALING	AP2B1,PSMC1,FZD3,PSMD11,ITPR2,PDE6A,PDE6B,TCF7L2,ITPR1,TCF7L1,PSMD6,GNG7,PLCB1,PRKG1
REACTOME_KERATINIZATION	SET	2	0.7285	0.030675	0.72758	0.15846	REACTOME_KERATINIZATION	JUP,KAZN
REACTOME_FORMATION_OF_THE_CO...	SET	2	0.7285	0.030675	0.72758	0.15846	REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	JUP,KAZN
REACTOME_TNFR1_INDUCED_NFKAP...	SET	2	0.72528	0.03054	0.72783	0.15962	REACTOME_TNFR1_INDUCED_NFKAPPAB_SIGNALING_PATHWAY	TAB1,RIPK1
REACTOME_TNF_SIGNALING	SET	2	0.72528	0.03054	0.72783	0.15962	REACTOME_TNF_SIGNALING	TAB1,RIPK1
REACTOME_TNFR2_NON_CANONICAL...	SET	5	0.45792	0.030447	0.46088	0.16033	REACTOME_TNFR2_NON_CANONICAL_NF_KB_PATHWAY	PSMC1,PSMD11,TNFSF4,TNFRSF8,EDA,PSMD6
REACTOME_SIRT1_NEGATIVELY_RE...	SET	2	0.72078	0.03035	0.72784	0.16112	REACTOME_SIRT1_NEGATIVELY_REGULATES_RRNA_EXPRESSION	TAF1D,HIST1H2BO
REACTOME_CONDENSATION_OF_PRO...	SET	4	0.50611	0.030111	0.5151	0.16303	REACTOME_CONDENSATION_OF_PROPHASE_CHROMOSOMES	SMC4,RB1,MCPH1,HIST1H2BO
REACTOME_CHROMATIN_MODIFYING...	SET	13	0.28137	0.030058	0.28688	0.16346	REACTOME_CHROMATIN_MODIFYING_ENZYMES	ARID1B,IKBKAP,JAK2,KDM4C,NFKB1,PHF21A,PAX3,PRDM16,SUV39H2,NSD1,BRWD1,HDAC2,HIST1H2BO
REACTOME_DEGRADATION_OF_THE_...	SET	11	0.30536	0.030034	0.31154	0.16361	REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	COL23A1,TLL2,FN1,ADAMTS18,ADAMTS9,COL4A3,TMPRSS6,COL25A1,COL5A2,COL15A1,CAPN14
REACTOME_DOWNREGULATION_OF_E...1	SET	2	0.71109	0.029942	0.72787	0.16441	REACTOME_DOWNREGULATION_OF_ERBB2_ERBB3_SIGNALING	NRG1,NRG2
REACTOME_GRB7_EVENTS_IN_ERBB...	SET	2	0.71109	0.029942	0.72787	0.16441	REACTOME_GRB7_EVENTS_IN_ERBB2_SIGNALING	NRG1,NRG2
REACTOME_GPCR_LIGAND_BINDING	SET	21	0.21989	0.029748	0.22639	0.16581	REACTOME_GPCR_LIGAND_BINDING	FZD3,CCR6,TACR1,GPR68,GRM4,C3,ADGRE3,RAMP1,CHRM3,AGT,GABBR2,ECE2,CXCL13,TSHR,GNG7,GRM8,GPR39,UTS2B,GRM7,LPAR1,CCL5
REACTOME_METABOLISM_OF_STERO...2	SET	2	0.70386	0.029638	0.72768	0.16681	REACTOME_METABOLISM_OF_STEROID_HORMONES	HSD17B2,FDX1
REACTOME_MITOTIC_G1_PHASE_AN...	SET	9	0.32847	0.029248	0.34416	0.17005	REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION	MNAT1,JAK2,ABL1,PSMC1,PSMD11,CABLES1,RB1,DYRK1A,PSMD6
REACTOME_ERCC6_CSB_AND_EHMT2...	SET	2	0.69105	0.029098	0.72786	0.17131	REACTOME_ERCC6_CSB_AND_EHMT2_G9A_POSITIVELY_REGULATE_RRNA_EXPRESSION	HDAC2,HIST1H2BO
REACTOME_CGMP_EFFECTS	SET	6	0.38856	0.028288	0.42099	0.17811	REACTOME_CGMP_EFFECTS	PDE1B,ITPR1,KCNMA1,KCNMB3,PRKG1,KCNMB2
REACTOME_NITRIC_OXIDE_STIMUL...	SET	6	0.38856	0.028288	0.42099	0.17811	REACTOME_NITRIC_OXIDE_STIMULATES_GUANYLATE_CYCLASE	PDE1B,ITPR1,KCNMA1,KCNMB3,PRKG1,KCNMB2
REACTOME_CLASS_A_1_RHODOPSIN...	SET	13	0.26201	0.02799	0.28683	0.1806	REACTOME_CLASS_A_1_RHODOPSIN_LIKE_RECEPTORS	CCR6,TACR1,GPR68,C3,CHRM3,AGT,ECE2,CXCL13,TSHR,GPR39,UTS2B,LPAR1,CCL5
REACTOME_ASSEMBLY_OF_COLLAGE...	SET	5	0.41985	0.027916	0.461	0.18132	REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	TLL2,LOXL2,COL4A3,COL5A2,COL15A1
REACTOME_HEDGEHOG_OFF_STATE	SET	11	0.28085	0.027624	0.31152	0.18374	REACTOME_HEDGEHOG_OFF_STATE	RBX1,PSMC1,PSMD11,TTC21B,GPR161,ADCY8,PSMD6,IFT122,INTU,TUBA1C,DYNC2H1
REACTOME_SIGNALING_BY_BMP	SET	2	0.65218	0.027462	0.72794	0.18525	REACTOME_SIGNALING_BY_BMP	BMPR1B,FSTL1,SMAD1
REACTOME_PROTEIN_LOCALIZATION	SET	5	0.41044	0.02729	0.46085	0.18667	REACTOME_PROTEIN_LOCALIZATION	ALDH3A2,PHYH,EHHADH,UBE2J2,DDO
REACTOME_LISTERIA_MONOCYTOGE...	SET	2	0.64487	0.027154	0.7278	0.18789	REACTOME_LISTERIA_MONOCYTOGENES_ENTRY_INTO_HOST_CELLS	SH3GL3,CTNND1
REACTOME_G2_M_DNA_DAMAGE_CHE...	SET	3	0.52617	0.027123	0.59461	0.1882	REACTOME_G2_M_DNA_DAMAGE_CHECKPOINT	MRE11A,CHEK1,HIST1H2BO
REACTOME_PROCESSING_OF_DNA_D...	SET	3	0.52617	0.027123	0.59461	0.1882	REACTOME_PROCESSING_OF_DNA_DOUBLE_STRAND_BREAK_ENDS	MRE11A,CHEK1,HIST1H2BO
REACTOME_ROLE_OF_SECOND_MESS...	SET	3	0.52584	0.027106	0.59451	0.18831	REACTOME_ROLE_OF_SECOND_MESSENGERS_IN_NETRIN_1_SIGNALING	NTN1,TRPC7,TRPC4
REACTOME_B_WICH_COMPLEX_POSI...	SET	3	0.52428	0.027026	0.5946	0.18906	REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION	POLR1E,TAF1D,HIST1H2BO
REACTOME_ACTIVATION_OF_NMDA_...	SET	13	0.24642	0.026325	0.28678	0.19519	REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS	LRRC7,RPS6KA2,CAMK2D,DLG2,ADCY8,NRG1,TUBA1C,NBEA,PPM1E,ERBB4,MAPT,GRIN3A,GRIN2B
REACTOME_DOWNREGULATION_OF_T...	SET	2	0.61621	0.025947	0.72794	0.19873	REACTOME_DOWNREGULATION_OF_TGF_BETA_RECEPTOR_SIGNALING	NEDD4L,TGFBR2
REACTOME_TGF_BETA_RECEPTOR_S...	SET	2	0.61621	0.025947	0.72794	0.19873	REACTOME_TGF_BETA_RECEPTOR_SIGNALING_ACTIVATES_SMADS	NEDD4L,TGFBR2
REACTOME_SIGNALING_BY_TGF_BE...2	SET	2	0.61621	0.025947	0.72794	0.19873	REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX	NEDD4L,TGFBR2
REACTOME_NUCLEOTIDE_BINDING_...	SET	4	0.43543	0.025906	0.51528	0.19914	REACTOME_NUCLEOTIDE_BINDING_DOMAIN_LEUCINE_RICH_REPEAT_CONTAINING_RECEPTOR_NLR_SIGNALING_PATHWAYS	TAB1,NOD1,NFKB1,BCL2
REACTOME_DEGRADATION_OF_AXIN	SET	4	0.43511	0.025888	0.51515	0.19925	REACTOME_DEGRADATION_OF_AXIN	PSMC1,AXIN1,PSMD11,PSMD6
REACTOME_MITOTIC_METAPHASE_A...	SET	7	0.3424	0.026913	0.41262	0.20341	REACTOME_MITOTIC_METAPHASE_AND_ANAPHASE	NDE1,PSMC1,PSMD11,DYNC1I1,PSMD6,TUBA1C,APITD1
REACTOME_SEPARATION_OF_SISTE...	SET	7	0.3424	0.026913	0.41262	0.20341	REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	NDE1,PSMC1,PSMD11,DYNC1I1,PSMD6,TUBA1C,APITD1
REACTOME_O_LINKED_GLYCOSYLAT...2	SET	4	0.41953	0.024961	0.51448	0.2075	REACTOME_O_LINKED_GLYCOSYLATION_OF_MUCINS	GALNT7,GALNT14,ST6GALNAC3,WBSCR17
REACTOME_DAG_AND_IP3_SIGNALI...	SET	8	0.29189	0.024516	0.36485	0.21194	REACTOME_DAG_AND_IP3_SIGNALING	ITPR2,PDE1B,CAMK2D,ITPR1,PDE1C,ADCY8,PRKCE,NBEA
REACTOME_MITOTIC_SPINDLE_CHE...	SET	3	0.54868	0.028283	0.68669	0.21222	REACTOME_MITOTIC_SPINDLE_CHECKPOINT	NDE1,DYNC1I1,APITD1
REACTOME_METABOLIC_DISORDERS...	SET	3	0.56872	0.029316	0.7251	0.21651	REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES	GGT1,FDX1,UGT1A4
REACTOME_RAF_ACTIVATION	SET	3	0.46303	0.023868	0.59453	0.21813	REACTOME_RAF_ACTIVATION	JAK2,CAMK2D,BRAF
REACTOME_PLATELET_HOMEOSTASIS	SET	11	0.24217	0.023818	0.31152	0.21856	REACTOME_PLATELET_HOMEOSTASIS	TRPC7,ITPR2,PDE1B,ITPR1,KCNMA1,ATP2B2,KCNMB3,GNG7,SLC8A1,PRKG1,KCNMB2
REACTOME_ANTIVIRAL_MECHANISM...	SET	3	0.46109	0.023768	0.59474	0.21917	REACTOME_ANTIVIRAL_MECHANISM_BY_IFN_STIMULATED_GENES	EIF2AK2,EIF4E3,ABCE1
REACTOME_RUNX1_AND_FOXP3_CON...	SET	3	0.46026	0.023725	0.59449	0.21949	REACTOME_RUNX1_AND_FOXP3_CONTROL_THE_DEVELOPMENT_OF_REGULATORY_T_LYMPHOCYTES_TREGS	NFATC2,RUNX1,CR1
REACTOME_CHONDROITIN_SULFATE...	SET	5	0.35717	0.023748	0.46196	0.2198	REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM	ARSB,SDC2,CHST11,GPC5,GPC6
REACTOME_CELL_CYCLE	SET	31	0.14651	0.023973	0.1896	0.21992	REACTOME_CELL_CYCLE	MNAT1,MRE11A,MSH4,NDE1,JAK2,ABL1,RBX1,PSMC1,CEP192,CEP152,PSMD11,SMC4,SYNE1,CABLES1,HAUS2,RB1,MCPH1,HAUS6,CHEK1,NEK7,DYRK1A,DYNC1I1,ZNF385A,PSMD6,TUBA1C,APITD1,SYCP2,SFI1,SYCP1,MSH5,HIST1H2BO
REACTOME_ACTIVATION_OF_THE_P...	SET	2	0.5622	0.023673	0.72808	0.22009	REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE	PDE6A,PDE6B
REACTOME_PHYSIOLOGICAL_FACTO...	SET	2	0.55414	0.023334	0.72779	0.22329	REACTOME_PHYSIOLOGICAL_FACTORS	GATA4,CORIN
REACTOME_SPHINGOLIPID_METABO...	SET	5	0.34883	0.023193	0.46103	0.22472	REACTOME_SPHINGOLIPID_METABOLISM	SPHK2,ALDH3A2,ARSB,GLB1,CERS6,PRKD1
REACTOME_PHASE_3_RAPID_REPOL...	SET	2	0.55065	0.023187	0.72808	0.22481	REACTOME_PHASE_3_RAPID_REPOLARISATION	KCNQ1,KCNH2
REACTOME_MUSCLE_CONTRACTION	SET	17	0.18978	0.023142	0.25132	0.22517	REACTOME_MUSCLE_CONTRACTION	KCNQ1,KCNH2,FGF12,ITPR2,FGF13,GATA4,CORIN,CAMK2D,PAK1,ITPR1,ATP2B2,CACNA2D3,KCNIP1,CACNB4,SLC8A1,MYH6,RYR3,DMD,ITGA1
REACTOME_RAB_GERANYLGERANYLA...	SET	2	0.53976	0.022728	0.72783	0.22925	REACTOME_RAB_GERANYLGERANYLATION	RAB27B,RAB27A,CHM
REACTOME_EXTRA_NUCLEAR_ESTRO...	SET	5	0.34052	0.022641	0.46089	0.23008	REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING	GNAI3,ESR2,ZDHHC7,BCL2,GNG7
REACTOME_RAB_GEFS_EXCHANGE_G...	SET	4	0.37588	0.022364	0.51515	0.23288	REACTOME_RAB_GEFS_EXCHANGE_GTP_FOR_GDP_ON_RABS	RAB27B,RAB27A,GAPVD1,TRAPPC9,CHM
REACTOME_METABOLISM_OF_NUCLE...	SET	3	0.49904	0.025725	0.6867	0.23378	REACTOME_METABOLISM_OF_NUCLEOTIDES	NT5E,DPYD,ENTPD7
REACTOME_NUCLEOBASE_CATABOLI...	SET	3	0.49904	0.025725	0.6867	0.23378	REACTOME_NUCLEOBASE_CATABOLISM	NT5E,DPYD,ENTPD7
REACTOME_TRAFFICKING_OF_GLUR...	SET	2	0.52008	0.021899	0.72803	0.23757	REACTOME_TRAFFICKING_OF_GLUR2_CONTAINING_AMPA_RECEPTORS	AP2B1,GRIP1
REACTOME_PYRIMIDINE_CATABOLI...	SET	2	0.51457	0.021667	0.7281	0.23994	REACTOME_PYRIMIDINE_CATABOLISM	NT5E,DPYD
REACTOME_UCH_PROTEINASES	SET	5	0.32541	0.021637	0.46101	0.24021	REACTOME_UCH_PROTEINASES	PSMC1,PSMD11,TGFBR2,PSMD6,SENP8
REACTOME_MITOTIC_PROPHASE	SET	5	0.3221	0.021416	0.46106	0.24247	REACTOME_MITOTIC_PROPHASE	SMC4,RB1,MCPH1,NEK7,HIST1H2BO
REACTOME_ACTIVATION_OF_RAC1	SET	2	0.50798	0.02139	0.72777	0.24266	REACTOME_ACTIVATION_OF_RAC1	PAK1,ROBO1
REACTOME_N_GLYCAN_ANTENNAE_E...1	SET	2	0.50257	0.021162	0.72808	0.24509	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION	MGAT5,MGAT4C
REACTOME_N_GLYCAN_ANTENNAE_E...2	SET	2	0.50257	0.021162	0.72808	0.24509	REACTOME_N_GLYCAN_ANTENNAE_ELONGATION_IN_THE_MEDIAL_TRANS_GOLGI	MGAT5,MGAT4C
REACTOME_REGULATION_OF_RUNX2...	SET	8	0.24809	0.020837	0.36493	0.24838	REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY	RBX1,PSMC1,PSMD11,FBXW7,PPARGC1A,HIVEP3,PPARGC1B,PSMD6
REACTOME_RHO_GTPASE_EFFECTORS	SET	14	0.18977	0.021028	0.28432	0.25231	REACTOME_RHO_GTPASE_EFFECTORS	NDE1,ABL1,KDM4C,WIPF1,NCF2,IQGAP2,DIAPH2,PAK1,FMNL2,DYNC1I1,TUBA1C,APITD1,MKL1,CYFIP1,HIST1H2BO
REACTOME_INFECTIOUS_DISEASE	SET	42	0.10791	0.020449	0.16188	0.25258	REACTOME_INFECTIOUS_DISEASE	AP2B1,VTA1,MNAT1,NEDD4L,EIF2AK2,TAF11,GNAI3,ENO1,ABL1,GGT1,RBX1,PSMC1,DNAJC3,PSMD11,NFKB1,RNGTT,WIPF1,ITPR2,C3,RAMP1,VAV3,DOCK2,NT5E,GTF2B,SH3GL3,TAF4B,VAV1,DOCK1,ITPR1,ADCY8,DYNC1I1,PSMD6,TSHR,GPR176,TUBA1C,GNG7,GPR39,SV2B,PLCG2,CTNND1,CYFIP1,HIST1H2BO
REACTOME_TRANSCRIPTIONAL_REG...5	SET	6	0.28043	0.020416	0.42096	0.25272	REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX3	PSMC1,PSMD11,TCF7L2,TCF7L1,RUNX1,PSMD6
REACTOME_REGULATION_OF_CHOLE...	SET	3	0.39543	0.020384	0.59455	0.25307	REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	GGPS1,CHD9,NCOA6
REACTOME_ACTIVATION_OF_GENE_...	SET	3	0.39543	0.020384	0.59455	0.25307	REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP	GGPS1,CHD9,NCOA6
REACTOME_G_BETA_GAMMA_SIGNAL...	SET	2	0.47996	0.02021	0.72715	0.25468	REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_CDC42	PAK1,GNG7
REACTOME_SIGNALING_BY_FGFR_I...	SET	2	0.47734	0.0201	0.72781	0.25603	REACTOME_SIGNALING_BY_FGFR_IN_DISEASE	BCR,CUX1
REACTOME_SIGNALING_BY_CYTOSO...	SET	2	0.47734	0.0201	0.72781	0.25603	REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS	BCR,CUX1
REACTOME_FGFR1_MUTANT_RECEPT...	SET	2	0.47734	0.0201	0.72781	0.25603	REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION	BCR,CUX1
REACTOME_SIGNALING_BY_FGFR1_...	SET	2	0.47734	0.0201	0.72781	0.25603	REACTOME_SIGNALING_BY_FGFR1_IN_DISEASE	BCR,CUX1
REACTOME_SIGNALING_BY_ROBO_R...	SET	11	0.2037	0.020035	0.31165	0.25674	REACTOME_SIGNALING_BY_ROBO_RECEPTORS	NTN1,ABL1,RBX1,PSMC1,PSMD11,PAK1,PSMD6,ROBO1,SLIT3,ROBO2,SRGAP3
REACTOME_MAPK_FAMILY_SIGNALI...	SET	27	0.13079	0.02001	0.20332	0.26009	REACTOME_MAPK_FAMILY_SIGNALING_CASCADES	LRRC7,SPTB,APBB1IP,JAK2,RBX1,PSMC1,PSMD11,FN1,TEK,MAPK4,CAMK2D,PAK1,NCAM1,DLG2,FOXO1,GFRA1,NRG1,BRAF,NRG2,KALRN,IL6R,PSMD6,KSR2,ERBB4,NF1,ITGB3,GRIN2B
REACTOME_SIGNALING_BY_RETINO...	SET	4	0.3331	0.019818	0.51791	0.26013	REACTOME_SIGNALING_BY_RETINOIC_ACID	DHRS9,RDH16,PDK1,RARG
REACTOME_ALPHA_OXIDATION_OF_...	SET	2	0.4661	0.019626	0.72786	0.26103	REACTOME_ALPHA_OXIDATION_OF_PHYTANATE	ALDH3A2,PHYH
